Time (s),Voltage (V),Disp. (cm),Stress (MPa),DC (%),deltaT
58.46624700,0.26633384,0.00256993,0.31656982,57.88330883,3.59109929
58.66668700,0.26643584,0.00257093,0.31669082,57.00330283,3.56006429
58.86712700,0.26652984,0.00257193,0.31680282,57.87315983,3.47979029
59.06756700,0.26662684,0.00257293,0.31691782,57.13533583,3.40020529
59.26800700,0.26676084,0.00257393,0.31707682,57.79945683,3.37323229
59.46844700,0.26687684,0.00257493,0.31721482,57.14829883,3.39352429
59.66888700,0.26700084,0.00257693,0.31736282,57.00432083,3.42252629
59.86932700,0.26710484,0.00257793,0.31748582,57.11890983,3.45835929
60.06976700,0.26722784,0.00257893,0.31763182,56.80710083,3.48615529
60.27020700,0.26733784,0.00257993,0.31776382,57.43446183,3.50013629
60.47064700,0.26744084,0.00258093,0.31788582,57.80060683,3.47425029
60.67108700,0.26754884,0.00258193,0.31801382,57.45468083,3.47536329
60.87152700,0.26764084,0.00258293,0.31812282,57.03185983,3.40245729
61.07196700,0.26772984,0.00258393,0.31822882,57.72070983,3.38409429
61.27240700,0.26782784,0.00258493,0.31834582,57.50992983,3.40354829
61.47284700,0.26791084,0.00258493,0.31844382,57.78956183,3.40797829
61.67328700,0.26802284,0.00258693,0.31857782,57.93290883,3.42042629
61.87372700,0.26812084,0.00258693,0.31869382,58.02881683,3.43254829
62.07416700,0.26821584,0.00258793,0.31880682,57.42503583,3.36823229
62.27460700,0.26830684,0.00258893,0.31891482,56.29391683,3.40189029
62.47504700,0.26839384,0.00258993,0.31901882,58.23069983,3.33333029
62.67548700,0.26849084,0.00259093,0.31913382,57.14333583,3.27111829
62.87592700,0.26858284,0.00259193,0.31924382,57.01114383,3.26289629
63.07636700,0.26865684,0.00259293,0.31933082,57.09578583,3.20096429
63.27680700,0.26875684,0.00259393,0.31944982,57.98382083,3.21492729
63.47724700,0.26885884,0.00259493,0.31957082,56.72433583,3.28486029
63.67768700,0.26895184,0.00259493,0.31968182,57.54780183,3.31125029
63.87812700,0.26903784,0.00259593,0.31978482,57.55304783,3.28168729
64.07856700,0.26912584,0.00259693,0.31988882,57.42739483,3.22422329
64.27900700,0.26920484,0.00259793,0.31998282,58.00031883,3.21757129
64.47944700,0.26929684,0.00259893,0.32009182,57.48364683,3.14532529
64.67988700,0.26938084,0.00259993,0.32019082,57.75386383,3.13486429
64.88032700,0.26946184,0.00259993,0.32028782,57.87610483,3.12676429
65.08076700,0.26954984,0.00260093,0.32039282,57.78619883,3.16641029
65.28120700,0.26963184,0.00260193,0.32048982,57.64237883,3.15178629
65.48164700,0.26971584,0.00260293,0.32058982,57.50813883,3.11732929
65.68208700,0.26979684,0.00260393,0.32068582,57.38030083,3.11941329
65.88252700,0.26988884,0.00260493,0.32079582,57.35327783,3.18517629
66.08296700,0.26997184,0.00260493,0.32089482,57.51862383,3.15723029
66.28340700,0.27004784,0.00260593,0.32098382,57.10962583,3.08861829
66.48384700,0.27011984,0.00260693,0.32106982,58.05113483,3.05110529
66.68428700,0.27019984,0.00260793,0.32116482,56.60284583,2.98476929
66.88472700,0.27029284,0.00260793,0.32127482,57.34039383,2.91468129
67.08516700,0.27038684,0.00260893,0.32138782,57.48518583,2.84397829
67.28560700,0.27047684,0.00260993,0.32149382,57.15558383,2.76867529
67.48604700,0.27055584,0.00261093,0.32158782,57.65077983,2.80421329
67.68648700,0.27064684,0.00261193,0.32169582,57.28248783,2.77826829
67.88692700,0.27073684,0.00261293,0.32180382,57.39823383,2.72386629
68.08736700,0.27084184,0.00261393,0.32192782,57.17003683,2.69389629
68.28780700,0.27096284,0.00261493,0.32207182,56.97143083,2.63963029
68.48824700,0.27105084,0.00261593,0.32217682,57.07021683,2.60061829
68.68868700,0.27114884,0.00261693,0.32229382,57.74293983,2.60800529
68.88912700,0.27123384,0.00261793,0.32239482,56.63849683,2.62208429
69.08956700,0.27131684,0.00261793,0.32249282,57.05030783,2.61047629
69.29000700,0.27141884,0.00261893,0.32261482,57.43597183,2.55610129
69.49044700,0.27150584,0.00261993,0.32271682,58.27469283,2.53045129
69.69088700,0.27158484,0.00262093,0.32281182,57.33596883,2.49046229
69.89132700,0.27167284,0.00262193,0.32291582,57.42354683,2.52529929
70.09176700,0.27176284,0.00262293,0.32302382,56.98366583,2.49332429
70.29220700,0.27186784,0.00262393,0.32314782,57.61052483,2.48020329
70.49264700,0.27195384,0.00262393,0.32325082,57.07101383,2.50293929
70.69308700,0.27204084,0.00262493,0.32335382,57.54255183,2.49404829
70.89352700,0.27212484,0.00262593,0.32345382,57.41228083,2.52423229
71.09396700,0.27219484,0.00262693,0.32353582,57.85186783,2.51557229
71.29440700,0.27226284,0.00262693,0.32361682,58.46219583,2.51312429
71.49484700,0.27234284,0.00262793,0.32371282,56.96691683,2.49863229
71.69528700,0.27242384,0.00262893,0.32380782,56.92895783,2.48571529
71.89572700,0.27251784,0.00262993,0.32391982,57.77855783,2.42936029
72.09616700,0.27260584,0.00263093,0.32402482,56.71481883,2.43395729
72.29660700,0.27269384,0.00263193,0.32412982,57.91493583,2.46787329
72.49704700,0.27277984,0.00263193,0.32423182,57.39172683,2.47408429
72.69748700,0.27286784,0.00263293,0.32433582,57.64279383,2.47565029
72.89792700,0.27293284,0.00263393,0.32441382,56.84338683,2.52281029
73.09836700,0.27303584,0.00263493,0.32453582,57.51574683,2.51349329
73.29880700,0.27311684,0.00263593,0.32463282,56.74750283,2.51172429
73.49924700,0.27319484,0.00263593,0.32472582,57.08327583,2.49203229
73.69968700,0.27324984,0.00263693,0.32478982,57.48879183,2.52922629
73.90012700,0.27334084,0.00263793,0.32489882,56.90763083,2.52752329
74.09956500,0.27342584,0.00263893,0.32499982,58.04836583,2.50817929
74.30000400,0.27350184,0.00263893,0.32508982,57.91567083,2.53011629
74.50044400,0.27356884,0.00263993,0.32516882,57.16026483,2.57026729
74.70088500,0.27365284,0.00264093,0.32526982,56.74369183,2.52970329
74.90132500,0.27372784,0.00264193,0.32535882,56.86095183,2.47635529
75.10176500,0.27379684,0.00264193,0.32544082,58.18391883,2.45986229
75.30220500,0.27386084,0.00264293,0.32551682,57.65551283,2.45601429
75.50264500,0.27393584,0.00264393,0.32560582,56.79453783,2.47890729
75.70308400,0.27400684,0.00264393,0.32568982,57.92949883,2.40606529
75.90352400,0.27406884,0.00264493,0.32576382,57.50401183,2.41304029
76.10396500,0.27414284,0.00264593,0.32585182,57.54745883,2.39433529
76.30440500,0.27420984,0.00264593,0.32593182,57.21298483,2.40432929
76.50484500,0.27426384,0.00264693,0.32599482,57.43401083,2.45528329
